time,K1,K2,K3,K4,K5,K6,K7
0.0,34.26078100227642,446.7546802312572,968.4412510953989,23.82246687537554,109.28582076194289,104.66511829908268,14.142135623726062
0.025,34.26017665762811,446.8554549520195,968.5730265635939,23.821637313549218,109.29699078718113,104.67764600174269,14.142135623735157
0.05,34.259267879815525,446.7250273757818,968.5490497091087,23.82185734720133,109.2862324840462,104.66909289663454,14.142135623733338
0.075,34.25888236345054,446.32991206942825,968.2846385065495,23.8217919587305,109.24611093818385,104.63387757921737,14.1421356237297
0.1,34.2584306047338,446.1042028070078,968.1716282395791,23.813675799658085,109.21254596090876,104.61284089616674,14.142135623733338
0.125,34.25694946768817,446.25133017171174,968.4294666923379,23.788343646629073,109.19699159587617,104.62259734156032,14.142135623718787
0.15,34.2541786898455,446.5810270584043,968.9107475668134,23.740721248439513,109.17562926356914,104.64287097314809,14.142135623726062
0.175,34.25071749685776,446.7453584209143,969.2964363723004,23.673542060421823,109.11788085930311,104.64243717274803,14.142135623735157
0.2,34.24756266127406,446.506758074509,969.3474422748841,23.5978685226346,109.01382612332964,104.60472982236024,14.142135623736976
0.225,34.245543765366165,445.8632662042655,969.0360237380664,23.53047331374455,108.8829369192099,104.53709946266827,14.142135623736976
0.25,34.24495652683618,445.0303871922806,968.543748563272,23.489560602919482,108.76650377624173,104.46592002426041,14.1421356237297
0.275,34.24546208682477,444.3467250948888,968.1828954361117,23.490480966060204,108.71296771970083,104.42555665705368,14.142135623722424
0.3,34.24619150272156,444.16619398773764,968.2995083550486,23.542405393527588,108.76368752583949,104.44759007446191,14.142135623740614
0.325,34.245958091891225,444.77110324500245,969.1920879766985,23.646201922708315,108.94268121829373,104.55320338146339,14.142135623716968
0.35,34.24349360056476,446.3161062490399,971.0573790935159,23.793394116176387,109.25094717898173,104.74912350603336,14.142135623736976
0.375,34.237654112152086,448.8006449085806,973.9622515670635,23.966037695195155,109.66472813965083,105.02645846728046,14.142135623727881
0.4,34.227570508477584,452.06418911651417,977.8364586324315,24.137440600017726,110.13691210202524,105.36164320047101,14.142135623733338
0.425,34.21273918766747,455.79937471661833,982.4809228659287,24.273731171279906,110.60096134978085,105.71890097100913,14.142135623738795
0.45,34.19306086059987,459.5795493630576,987.5871603505366,24.336270288835294,110.97689068638283,106.05379692771385,14.1421356237297
0.475,34.16884013732488,462.89774346853665,992.7641535636649,24.28480163579934,111.17875314107368,106.31750131266381,14.1421356237297
0.5,34.140758828511025,465.2134628473432,997.5690899744077,24.081069956959254,111.12287660910079,106.46131665258508,14.142135623735157
0.525,34.109833774575236,466.0026160027046,1001.5382865701831,23.692490011622795,110.73589588790492,106.44095347034454,14.142135623736976
0.55,34.07736750395998,464.8051180968323,1004.2146448994463,23.095383404277527,109.96156962277018,106.22003172361656,14.142135623722424
0.5750000000000001,34.04489780210497,461.26497863615805,1005.1685332343768,22.277362185569473,108.7655532113713,105.77239159129022,14.14213562373152
0.6000000000000001,34.01415042110057,455.1592193507531,1004.0101649050921,21.238625205885,107.13770293210109,105.08300844789119,14.14213562373152
0.625,33.986997316978886,446.414478483086,1000.3932588497119,19.992187306460437,105.09200460929424,104.14757440242829,14.142135623727881
0.65,33.965420266267756,435.1129084971035,994.011802080393,18.56329750405257,102.66470321728411,102.9710676925024,14.1421356237297
0.675,33.95147591420755,421.4912970630976,984.5939317406737,16.9884531928883,99.9115543275766,101.56584349187688,14.142135623722424
0.7000000000000001,33.94725266153,405.9387740143211,971.8994306111417,15.314440638138876,96.90528754323896,99.9499471029194,14.142135623720606
0.7250000000000001,33.954801195915934,388.9989612768768,955.7302489031717,13.597727540212873,93.73441617420394,98.14651547623362,14.142135623736067
0.75,33.97600782974405,371.38225613305985,935.9669763995698,11.904323117224521,90.50454112899388,96.18535218820762,14.142135623734248
0.775,34.01236134255487,353.9937632285655,912.647880052049,10.309959456100387,87.34341210718412,94.10807585168368,14.14213562373152
0.8,34.064539246377535,337.9832796568444,886.109239771642,8.90023616535882,84.41134698218593,91.97860574797232,14.14213562373061
0.8250000000000001,34.13171164973028,324.82831634915055,857.2038253342835,7.770454375721783,81.91944664898983,89.9010868371297,14.14213562373061
0.8500000000000001,34.21044884400726,316.47555758001545,827.607098581524,7.025751056901754,80.16003429058401,88.04768383364717,14.142135623726062
0.875,34.29318016410889,315.6040808144171,800.2148414047842,6.784732492239982,79.55872979532069,86.69973061179553,14.142135623726972
0.9,34.36643744874709,326.16573313497065,779.6569941758062,7.195612371577226,80.7702743710106,86.31020655672182,14.142135623733338
0.925,34.409916074022476,354.5858397507909,773.0591820621339,8.486547201333906,84.87423901292277,87.61124162518172,14.142135623722424
0.95,34.398987474894966,412.6533489536814,791.5221789600037,11.104695818484288,93.8288104350795,91.84195203328636,14.142135623742433
0.975,34.315125305347465,525.4412124914088,853.9322308312112,16.113500436836148,111.71303230558988,101.36020097353321,14.142135623726062
1.0,34.167745749155074,758.4864516563248,999.8332453570329,26.567409684217637,149.02943517365202,121.75746729916864,14.142135623726062
1.025,34.02354545102207,1354.265282064851,1352.413777966227,54.50031251968903,244.32452049170388,172.27209386683535,14.142135623744252
1.05,34.03916876770381,4368.946600741707,2839.117617893964,206.51547035915428,721.4646089409944,405.0431615667185,14.142135623718787
1.075,34.58599382788816,-8925.677398987114,-2251.031887229532,-519.878683048184,-1329.1984550270718,-464.39119429467246,14.14213562371151
1.1,39.11983697365213,3834.1491107949987,-42.89497763683903,284.881719725352,430.6120928960663,-51.70303948610672,14.142135623669674
