time,theta,alpha,beta,theta_dot,alpha_dot,beta_dot,int_theta
0.0,0.0,2.161751399392703e-27,0.0,-6.150643021306712e-27,1.5232324066755686e-25,0.0,0.0
0.025,-0.001250732907913939,0.001306290590227466,-0.0012996601737480763,-0.10005863263311511,0.10450324721819726,-0.10397281389984608,-1.563416134892424e-05
0.05,-0.0040491481018489345,0.004328689748292718,-0.0043986497412889175,-0.12381458288168451,0.13728868542702286,-0.14394635150342125,-8.188267397096015e-05
0.07500000000000001,-0.006486824475077474,0.007307986502554082,-0.007765679309751626,-0.07119952697659865,0.10105505491388629,-0.12541601397359547,-0.00021358233118254027
0.1,-0.00698984809513222,0.008842274736503371,-0.01024303622567171,0.030957637372219,0.021688003802056804,-0.07277253930001114,-0.0003820407383101615
0.125,-0.004703771177819223,0.008190431071701552,-0.011265682302921496,0.15192851601282076,-0.07383549698620227,-0.009039146879971836,-0.0005282109792220544
0.15000000000000002,0.0005241159219660566,0.00520306689835148,-0.010751777908315373,0.2663024519700016,-0.16515363688180357,0.050151498448461757,-0.000580456669920219
0.17500000000000002,0.008308685907654852,0.0001421463566308399,-0.008917147785120271,0.35646314688510206,-0.2397200064558476,0.09661891140714626,-0.0004700466470499577
0.2,0.017915793483536606,-0.006498013405280997,-0.006112737128264444,0.41210545918543834,-0.29149277449709926,0.12773394114131992,-0.0001422406546600644
0.225,0.028426089673667596,-0.014129180290846522,-0.0027122753468363675,0.42871823602504094,-0.3190005763481429,0.14430300137292618,0.0004370328848049881
0.25,0.03885929129359712,-0.022161459178414174,0.0009524200269936468,0.40593789356932125,-0.32358173465726897,0.14887262853347497,0.0012781001468957973
0.275,0.04826022250090403,-0.03005689620218516,0.004620616995987367,0.3461366030152316,-0.30805322724440987,0.14458312898602266,0.0023670940693270616
0.30000000000000004,0.05575368639305998,-0.03735527761390411,0.008109119950324683,0.2533405083572438,-0.27581728569310576,0.1344971073609626,0.0036672679305016116
0.325,0.060576138155563515,-0.04368196835704404,0.011306215153200608,0.13245563264303914,-0.2303179737580888,0.12127050886911128,0.005121390737359405
0.35000000000000003,0.062091082371239135,-0.048745212483010725,0.014160096639236982,-0.011260095388989682,-0.17474155631924554,0.10704001001379876,0.006654730993944439
0.375,0.05979354509517936,-0.052327855024395145,0.016665974071709853,-0.17254288669579226,-0.11186984699150829,0.09343018458403086,0.00817828883727467
0.4,0.053307505088436485,-0.05427649314890702,0.018854056611996836,-0.34634031384363767,-0.04402120296944155,0.08161641863892767,0.00959205196456987
0.42500000000000004,0.042379011484120176,-0.054489729687071754,0.020779338994006583,-0.5279391745016672,0.026962279916263224,0.07240617192185225,0.010788133421726827
0.45,0.026866874760626193,-0.052906390167497576,0.022513410350338985,-0.7130317633778513,0.09970488164967077,0.06631953658473956,0.011653706999786158
0.47500000000000003,0.006732231674326829,-0.049494121412480975,0.024138167226239605,-0.8977396835260973,0.1732766187516571,0.06366101348731018,0.01207369583022307
0.5,-0.017972119847596602,-0.04423857225021008,0.025741180194452425,-1.0786084382277772,0.247167314230015,0.06458002396971557,0.011933197228057198
0.525,-0.04711200223818785,-0.037133258311976385,0.02741242919048375,-1.252582153019523,0.3212578008286804,0.06911989571279024,0.011119645701984893
0.55,-0.08048134355823099,-0.028170165585434757,0.029242120668592542,-1.4169651525839284,0.39578961729464956,0.07725542253591312,0.009524728879529655
0.5750000000000001,-0.11781059795552677,-0.017331115250652736,0.03131929559767973,-1.5693751991997342,0.47133440948791183,0.08891857179106212,0.007046079610607684
0.6000000000000001,-0.15877393314660684,-0.004579880688641497,0.03373091562375029,-1.7076916160866722,0.5487643554729874,0.10401103029458211,0.0035887729718310124
0.625,-0.20299507892871513,0.01014498552667283,0.036561069536546864,-1.8300000464819892,0.6292249417521587,0.12240128272914441,-0.0009333396791105124
0.65,-0.2500517558415477,0.02693668684535771,0.03988987197058127,-1.9345341065446169,0.7141111637426316,0.14390291199360805,-0.006596425113738797
0.675,-0.2994785894669959,0.04592617163487737,0.04379153241891788,-2.0196125834912384,0.8050476194189411,0.16822992387332086,-0.013465554430095594
